Feature,Importance
Overall Qual,0.6060634822049253
Gr Liv Area,0.10244996120349109
1st Flr SF,0.037885205882266466
Total Bsmt SF,0.02715916956512164
2nd Flr SF,0.023978093813472302
BsmtFin SF 1,0.023125577787871568
Full Bath,0.016779400641839443
Garage Cars,0.01630569474126066
Garage Area,0.016059697207151488
Lot Area,0.015484096580967317
Year Built,0.009682267946085343
Year Remod/Add,0.007979238675912286
Lot Frontage,0.005192885775015282
Bsmt Unf SF,0.004498961641201118
Mas Vnr Area,0.004419202952736185
Wood Deck SF,0.00373505573980337
Open Porch SF,0.0037347247436214613
Garage Yr Blt,0.003519400687009047
Screen Porch,0.0034284574690637924
MS Zoning_RM,0.002978106612921617
Overall Cond,0.002640242840704902
Kitchen Qual_Gd,0.0025875949232027967
Mo Sold,0.0024907365597150303
Central Air_Y,0.0024844214774689616
TotRms AbvGrd,0.002269801739613847
Bedroom AbvGr,0.0022141209785595233
Fireplaces,0.0021829538482071825
MS SubClass,0.0018659314239661206
Bsmt Full Bath,0.0017660185750265666
Bsmt Qual_Gd,0.0017291398923691573
Kitchen Qual_TA,0.00156634688926249
Yr Sold,0.0014189789766805214
Exter Qual_Gd,0.0010339608978071726
Sale Condition_Normal,0.0009866747482648634
Bsmt Exposure_Gd,0.0009197651417200592
MS Zoning_RL,0.000908543856720536
BsmtFin Type 1_GLQ,0.0008923379162321659
Fireplace Qu_None,0.000850271347291149
Enclosed Porch,0.000837781358060682
Garage Cond_TA,0.0007763021630459403
Sale Type_WD ,0.0007711522717708977
Exter Qual_TA,0.000696257435139655
Neighborhood_Edwards,0.0006451108175829028
Garage Finish_Unf,0.000639857681478458
Lot Shape_Reg,0.0006390225466672338
Bsmt Qual_TA,0.0006315770578198504
Half Bath,0.0006306656016750615
Neighborhood_Crawfor,0.0006185564884433447
Fireplace Qu_Gd,0.0005922502986312576
Pool Area,0.0005899265795828814
Bsmt Exposure_No,0.0005838361959380903
Pool QC_None,0.0005807118566075382
Paved Drive_Y,0.0005786223991767468
Neighborhood_StoneBr,0.0005645884767013331
Foundation_PConc,0.0005263338996046705
Garage Type_Attchd,0.0005162924088617946
BsmtFin SF 2,0.000506518391592979
Heating QC_TA,0.0004832891911307152
Garage Finish_RFn,0.0004571442009135486
Land Contour_Lvl,0.00043993556947700247
Sale Condition_Family,0.00043115143615099895
Land Contour_Low,0.0004191987808780488
Condition 1_Norm,0.00040365700779993553
Exterior 1st_BrkFace,0.0004021954577220045
Garage Type_Detchd,0.00039324997750350775
Neighborhood_OldTown,0.00038835224730624196
Land Slope_Mod,0.000378987417726134
Roof Style_Gable,0.0003618172833051278
Mas Vnr Type_Stone,0.00036164808643315247
Sale Condition_Partial,0.00035421258964564163
Fireplace Qu_TA,0.0003480399403716025
House Style_2Story,0.0003477861739899134
Foundation_CBlock,0.00034772089835163016
Lot Config_Inside,0.0003451009162958943
Exterior 2nd_Wd Sdng,0.0003400914846791012
Garage Qual_TA,0.00033204860544898705
Neighborhood_Somerst,0.00032947471516593294
Roof Style_Hip,0.00032514424584403754
Lot Shape_IR2,0.0003247048304406816
Heating QC_Gd,0.00032291588581774533
Neighborhood_NridgHt,0.0003078976152877436
Neighborhood_NoRidge,0.00030586252653916574
Exterior 1st_HdBoard,0.00028954336105557684
Kitchen AbvGr,0.0002823051733286425
Bsmt Half Bath,0.0002792972566570796
Land Contour_HLS,0.0002753161755560625
Functional_Typ,0.0002680037602792194
Sale Type_New,0.00026717063801378666
Exterior 2nd_VinylSd,0.0002660990351721707
Mas Vnr Type_BrkFace,0.00026265306791683785
Exterior 1st_VinylSd,0.00025903851064124805
Bsmt Cond_TA,0.00025510225215850794
Alley_None,0.00024320448888956483
Neighborhood_Veenker,0.00024214836117201265
Condition 1_Feedr,0.0002374844779688152
Neighborhood_CollgCr,0.00023481680175090378
Exterior 1st_Wd Sdng,0.00023357328058414866
Exterior 2nd_MetalSd,0.0002330560424418246
Garage Type_BuiltIn,0.0002327581175991214
Exter Cond_TA,0.00023208488199148586
Misc Val,0.00022061993269795971
Exterior 1st_MetalSd,0.00021806010433624834
Lot Config_CulDSac,0.000206039254817149
BsmtFin Type 1_Unf,0.00019862720700902412
Exter Cond_Gd,0.00019246063384963466
Neighborhood_NAmes,0.00018387548224894391
Electrical_SBrkr,0.00018192716034578601
Bsmt Cond_Gd,0.00018146382007651132
Fence_None,0.00017714314085947984
House Style_1Story,0.00017465298691334862
Mas Vnr Type_None,0.00016650650607735222
Roof Matl_CompShg,0.00016057362155232787
Exterior 2nd_Wd Shng,0.0001570489098834475
Neighborhood_Timber,0.00015590832292060143
House Style_2.5Unf,0.00014453315801629424
BsmtFin Type 1_Rec,0.0001422587357823062
Fence_MnPrv,0.00014218264011082928
Exterior 1st_CemntBd,0.00014112842869717752
BsmtFin Type 1_LwQ,0.00014104543146768907
Bsmt Exposure_Mn,0.00013577687692651954
Neighborhood_ClearCr,0.00013479698247770042
Neighborhood_Gilbert,0.00012915645768111223
BsmtFin Type 1_BLQ,0.0001217871273825187
Exterior 2nd_CmentBd,0.00011930082181184136
Neighborhood_GrnHill,0.00011670287642454118
Exterior 2nd_HdBoard,0.00011604809600839442
Misc Feature_None,0.0001129890727830166
Exter Cond_Fa,0.0001115704946368366
Garage Qual_Gd,0.0001073279718761831
Bsmt Cond_Fa,0.00010457159399737643
Alley_Pave,0.00010278686862005962
Neighborhood_NWAmes,0.00010230521664948389
Exterior 1st_Plywood,0.00010073871107992264
Exterior 2nd_Plywood,0.00010004591104341848
Land Slope_Sev,9.987445008994533e-05
BsmtFin Type 2_Unf,9.320318086373319e-05
Exterior 1st_Stucco,9.29243891147899e-05
MS Zoning_FV,9.239161270665328e-05
Bsmt Qual_Fa,8.847836067389466e-05
MS Zoning_C (all),8.750857686113472e-05
Garage Cond_None,8.740962326306669e-05
Heating QC_Fa,8.688794377792563e-05
Kitchen Qual_Fa,8.557557193878026e-05
Garage Type_None,8.245773285753918e-05
Heating_GasA,8.075629905503307e-05
Bldg Type_Duplex,7.876740209062338e-05
Neighborhood_BrkSide,7.596516367454567e-05
Exterior 1st_PreCast,7.522154975894849e-05
3Ssn Porch,7.45259743461296e-05
Sale Condition_Alloca,6.965583183521106e-05
Bldg Type_TwnhsE,6.961338179209308e-05
Lot Config_FR2,6.835527976923614e-05
Functional_Mod,6.820161783562639e-05
BsmtFin Type 2_Rec,6.596631717155562e-05
Neighborhood_SawyerW,6.524790740924728e-05
Functional_Min1,6.518773315689465e-05
Neighborhood_Sawyer,6.478797097268449e-05
